구분,학교,직군,교육과정명,세부교육과정명,운영일정,수강 정보
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_ 1기 (트랙A 라이프스타일)",2026.9.1~2026. 9.25,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  2기 (트랙B 콘텐츠·브랜딩)",2026.9.1~2026. 9.25,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정
_  3기(트랙C 게임·인터랙티브)",2026.9.1~2026. 9.25,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  4기 (트랙A 라이프스타일)",2026.10.5~2026.10.30,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  5기 (트랙B 콘텐츠·브랜딩)",2026.10.5~2026.10.30,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  6기 (트랙D 제조·기술혁신)",2026.10.5~2026.10.30,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  7기 (트랙A 라이프스타일)",2026.11.3~2026.11.27,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  8기 (트랙C 게임·인터랙티브)",2026.11.3~2026.11.27,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  9기 (트랙B 콘텐츠·브랜딩)",2026.11.24~2026.12.18,https://aid30.art/
AID 30+ 집중캠프,계원예술대학교,디자인,계원 Creative AI·D 30+ 집중캠프(공통 5모듈 + 4트랙),"재직자 AI디자인 융합 실무역량 집중과정 
_  10기 (트랙D 제조·기술혁신)",2026.11.24~2026.12.18,https://aid30.art/
AID 30+ 집중캠프,동국대학교,마케팅·디지털 콘텐츠/데이터분석,AI 마케팅 인텔리전스 & 크리에이티브 전략 과정,AI 데이터 인사이트 추출,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,마케팅·디지털 콘텐츠/데이터분석,AI 마케팅 인텔리전스 & 크리에이티브 전략 과정,"GA4, ChatGPT",9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,마케팅·디지털 콘텐츠/데이터분석,AI 마케팅 인텔리전스 & 크리에이티브 전략 과정,퍼포먼스 마케팅 자동화,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,마케팅·디지털 콘텐츠/데이터분석,AI 마케팅 인텔리전스 & 크리에이티브 전략 과정,초개인화 타겟팅 프로젝트,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 네이티브 소프트웨어 엔지니어링 과정,AI 네이티브 소프트웨어 엔지니어링 과정,AI Agentic Workflow,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 네이티브 소프트웨어 엔지니어링 과정,AI 네이티브 소프트웨어 엔지니어링 과정,LLM 애플리케이션 아키텍처,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 네이티브 소프트웨어 엔지니어링 과정,AI 네이티브 소프트웨어 엔지니어링 과정,AI 기반 DevOps & SRE,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 네이티브 소프트웨어 엔지니어링 과정,AI 네이티브 소프트웨어 엔지니어링 과정,AI 자동화 솔루션 프로젝트,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 재무 인텔리전스 & 업무 자동화 과정,AI 재무 인텔리전스 & 업무 자동화 과정,Excel AI/회계 자동화 기초,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 재무 인텔리전스 & 업무 자동화 과정,AI 재무 인텔리전스 & 업무 자동화 과정,재무 데이터 분석 및 예측,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 재무 인텔리전스 & 업무 자동화 과정,AI 재무 인텔리전스 & 업무 자동화 과정,Excel Copilot + RPA,9.01~12.30(1개월씩),
AID 30+ 집중캠프,동국대학교,AI 재무 인텔리전스 & 업무 자동화 과정,AI 재무 인텔리전스 & 업무 자동화 과정,재무/회계 자동화 종합 프로젝트,9.01~12.30(1개월씩),
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 파이낸셜 인텔리전스,(1회) 2026.9.1 ~ 9.30,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 파이낸셜 인텔리전스,(2회) 202611.1 ~ 11.30,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 데이터 매니지먼트,(1회) 2026.8.1 ~ 8.31,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 데이터 매니지먼트,(2회) 2026.10.1 ~ 10.31,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 데이터 매니지먼트,(3회) 2026.12.1 ~ 12.31,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 프로젝트 스케줄링,(1회) 2026.9.1 ~ 9.30,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 프로젝트 스케줄링,(2회) 2026.11.1 ~ 11.30,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 인사이트 리포트,(1회) 2026.8.1 ~ 8.31,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 인사이트 리포트,(2회) 2026.10.1 ~ 10.31,
AID 30+ 집중캠프,명지대학교,부동산,「R.E.VIBE; 부동산 전략·운영 전문인력을 위한 바이브코딩」 집중캠프,AI 인사이트 리포트,(3회) 2026.12.1 ~ 12.31,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,스마트 워크 AI 자동화 캠프,(1회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,스마트 워크 AI 자동화 캠프,(2회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,스마트 워크 AI 자동화 캠프,(3회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,스마트 워크 AI 자동화 캠프,(4회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,스마트 워크 AI 자동화 캠프,(5회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,스마트 워크 AI 자동화 캠프,(6회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 소셜 콘텐츠 제작 부트캠프,(1회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 소셜 콘텐츠 제작 부트캠프,(2회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 소셜 콘텐츠 제작 부트캠프,(3회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 소셜 콘텐츠 제작 부트캠프,(4회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 소셜 콘텐츠 제작 부트캠프,(5회) 2026.11. ~ 2026.12.,
